trade date	scheme	security	isin	secname	deal id	trade type	units	price iso	txn net	txn gross	settle date
20251103	771	010608601	INE018A01030	EQ - LARSEN & TOUBRO LTD.	CF2500117710020826	BUY	11	INR	3981.0909	3985.868173	20251104
20251103	771	010626301	INE263A01024	EQ - BHARAT ELECTRONICS LTD.	CF2500117710020827	BUY	97	INR	422.483	422.989907	20251104
20251103	771	010631201	INE280A01028	EQ - TITAN COMPANY LTD.	CF2500117710020828	BUY	11	INR	3723.5545	3728.022682	20251104
20251103	771	010653801	INE009A01021	EQ - INFOSYS LTD.	CF2500117710020829	BUY	26	INR	1486.5115	1488.295346	20251104
20251103	771	010802201	INE081A01020	EQ - TATA STEEL LTD.	CF2500117710020830	BUY	226	INR	182.7005	182.919704	20251104
20251103	771	010812101	INE019A01038	EQ - JSW STEEL LTD.	CF2500117710020831	BUY	34	INR	1194.9735	1196.407324	20251104
20251103	771	011005001	INE192A01025	EQ - TATA CONSUMER PRODUCTS LTD	CF2500117710020832	BUY	35	INR	1194.5371	1195.970529	20251104
20251103	771	011501801	INE002A01018	EQ - RELIANCE INDUSTRIES LTD.	CF2500117710020833	BUY	29	INR	1485.1138	1486.895869	20251104
20251103	771	011700501	INE047A01021	EQ - GRASIM INDUSTRIES LTD.	CF2500117710020834	BUY	14	INR	2899.55	2903.029286	20251104
20251103	771	011800801	INE101A01026	EQ - MAHINDRA & MAHINDRA LTD.	CF2500117710020835	BUY	11	INR	3549.0364	3553.295491	20251104
20251103	771	011801601	INE155A01022	EQ - TATA MOTORS PASSENGER VEHICLES LTD.	CF2500117710020836	BUY	58	INR	417.5905	418.091534	20251104
20251103	771	011804401	INE066A01021	EQ - EICHER MOTORS LTD	CF2500117710020837	BUY	5	INR	7021.8	7030.226	20251104
20251103	771	011901101	INE239A01024	EQ - NESTLE INDIA LTD.	CF2500117710020838	BUY	33	INR	1267.3333	1268.854209	20251104
20251103	771	011901801	INE030A01027	EQ - HINDUSTAN UNILEVER LTD	CF2500117710020839	BUY	15	INR	2459.9267	2462.8787	20251104
20251103	771	011902201	INE154A01025	EQ - ITC LTD.	CF2500117710020840	BUY	98	INR	413.8893	414.385933	20251104
20251103	771	011909201	INE849A01020	EQ - TRENT LIMITED	CF2500117710020841	BUY	8	INR	4714.9375	4720.595	20251104
20251103	771	011909401	INE075A01022	EQ - WIPRO LIMITED	CF2500117710020842	BUY	161	INR	240.512	240.800571	20251104
20251103	771	011912701	INE437A01024	EQ - APOLLO HOSPITALS ENTERPRISE LT	CF2500117710020843	BUY	6	INR	7825.75	7835.141667	20251104
20251103	771	011945201	INE423A01024	EQ - ADANI ENTERPRISES LTD.	CF2500117710020844	BUY	15	INR	2470.0667	2473.0307	20251104
20251103	771	012000301	INE522F01014	EQ - COAL INDIA LTD.	CF2500117710020845	BUY	99	INR	388.7273	389.193664	20251104
20251103	771	012002901	INE090A01021	EQ - ICICI BANK LTD	CF2500117710020846	BUY	28	INR	1346.9286	1348.545029	20251104
20251103	771	012020301	INE860A01027	EQ - HCL TECHNOLOGIES LTD.	CF2500117710020847	BUY	27	INR	1544.5556	1546.408933	20251104
20251103	771	012031201	INE742F01042	EQ - ADANI PORTS AND SPECIAL ECONO	CF2500117710020848	BUY	28	INR	1446.3786	1448.114314	20251104
20251103	771	012038901	INE397D01024	EQ - BHARTI AIRTEL LTD.	CF2500117710020849	BUY	20	INR	2072.86	2075.3475	20251104
20251103	771	012043501	INE585B01010	EQ - MARUTI SUZUKI INDIA LTD.	CF2500117710020850	BUY	3	INR	15636.6667	15655.430033	20251104
20251103	771	012047601	INE481G01011	EQ - ULTRATECH CEMENT LTD.	CF2500117710020851	BUY	3	INR	11959.3333	11973.6833	20251104
20251103	771	012049201	INE467B01029	EQ - TATA CONSULTANCY SERVICES LTD.	CF2500117710020852	BUY	13	INR	3017.8077	3021.429238	20251104
20251103	771	012060401	INE669C01036	EQ - TECH MAHINDRA LTD.	CF2500117710020853	BUY	27	INR	1419.9667	1421.670774	20251104
20251103	771	012086501	INE917I01010	EQ - BAJAJ AUTO LTD.	CF2500117710020854	BUY	4	INR	8927.25	8937.9625	20251104
20251103	771	012086601	INE918I01026	EQ - BAJAJ FINSERV LTD.	CF2500117710020855	BUY	19	INR	2081.0105	2083.507868	20251104
20251103	771	012099601	INE123W01016	EQ - SBI LIFE INSURANCE COMPANY LTD	CF2500117710020856	BUY	22	INR	1970.0773	1972.441391	20251104
20251103	771	012131601	INE646L01027	EQ - INTERGLOBE AVIATION LTD	CF2500117710020857	BUY	7	INR	5698.7143	5705.552871	20251104
20251103	771	012142401	INE795G01014	EQ - HDFC LIFE INSURANCE COMPANY LI	CF2500117710020858	BUY	51	INR	736.4	737.283529	20251104
