valuation date,portfolio code,portfolio name,asset name,issuer,security,isin no,secname,quantity,market price,cost price,mktval,per,nav
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Eicher Motors Ltd,011804401,INE066A01021,EQ - EICHER MOTORS LTD,"110,000","7,007","4,964.8037980909","770,770,000",1.97,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Emami Ltd.,012110801,INE548C01032,EQ - EMAMI LTD.,"750,000",534.4,459.92468628,"400,800,000",1.03,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Great Eastern Shipping Co. Ltd.,011200201,INE017A01032,EQ - GREAT EASTERN SHIPPING CO. LTD,"733,379","1,099.6",308.5883169821,"806,423,548.4",2.07,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Hcl Technologies Ltd.,012020301,INE860A01027,EQ - HCL TECHNOLOGIES LTD.,"400,000","1,541.5","1,505.15724375","616,600,000",1.58,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Hdfc Bank Ltd.,010216601,INE040A01034,EQ - HDFC BANK LIMITED,"3,625,000",987.3,727.3679313352,"3,578,962,500",9.17,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Hindustan Unilever Ltd.,011901801,INE030A01027,EQ - HINDUSTAN UNILEVER LTD,"170,000","2,465.5","1,670.3458314706","419,135,000",1.07,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Icici  Lombard General Insurance Company Ltd,012141101,INE765G01017,EQ - ICICI LOMBARD GENERAL INSURANC,"370,000","1,993.7","1,401.780661027","737,669,000",1.89,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Icici Bank Ltd,012002901,INE090A01021,EQ - ICICI BANK LTD,"1,500,000","1,345.3",384.2601663533,"2,017,950,000",5.17,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Indiamart Intermesh Ltd,012153501,INE933S01016,EQ - INDIAMART INTERMESH LTD,"113,164","2,457.9","2,559.5286832385","278,145,795.6",0.71,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Infosys Ltd.,010653801,INE009A01021,EQ - INFOSYS LTD.,"860,000","1,482.3",914.3373115465,"1,274,778,000",3.27,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Itc Ltd.,011902201,INE154A01025,EQ - ITC LTD.,"2,500,000",420.35,229.456436096,"1,050,875,000",2.69,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Kajaria Ceramics Ltd.,010702301,INE217B01036,EQ - KAJARIA CERAMICS LTD.,"340,000","1,207.6",868.6913370882,"410,584,000",1.05,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Kotak Mahindra Bank Ltd.,010207501,INE237A01028,EQ - KOTAK MAHINDRA BANK LTD.,"625,000","2,102.2","1,847.357632608","1,313,875,000",3.37,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Lg Electronics India Ltd,012184901,INE324D01010,EQ - LG ELECTRONICS INDIA LTD,"85,033","1,663.6","1,140","141,460,898.8",0.36,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Mahanagar Gas Ltd.,012135101,INE002S01010,EQ - MAHANAGAR GAS LTD.,"429,412","1,276.9",857.8631533818,"548,316,182.8",1.4,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Mahindra & Mahindra Ltd.,011800801,INE101A01026,EQ - MAHINDRA & MAHINDRA LTD.,"347,678","3,487.2","1,601.8650184941","1,212,422,721.6",3.11,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Mahindra And Mahindra Financial Services Ltd,012016801,INE774D01024,EQ - MAHINDRA & MAHINDRA FINANCIAL,"1,900,000",315.55,288.7022117105,"599,545,000",1.54,"39,040,365,810.82"
20251031,190,UTI - Dividend Yield Fund,Equity Shares,Maruti Suzuki India Ltd.,012043501,INE585B01010,EQ - MARUTI SUZUKI INDIA LTD.,"50,000","16,186","11,497.931189","809,300,000",2.07,"39,040,365,810.82"
